Rank,City,Population
1,"New York, NY",8250567
2,"Los Angeles, CA",3849378
3,"Chicago, IL",2833321
4,"Houston, TX",2144491
5,"Phoenix, AR",1512986
6,"Philadelphia, PA",1448394
7,"San Antonio, TX",1296682
8,"San Diego, CA",1256951
9,"Dallas, TX",1232940
10,"San Jose, CA",929936
11,"Detroit, MI",918849
12,"Jacksonville, FL",794555
13,"Indianapolis, IN",785597
14,"San Francisco, CA",744041
15,"Columbus, OH",733203
16,"Austin, TX",709893
17,"Memphis, TN",670902
18,"Fort Worth, TX",653320
19,"Baltimore, MD",640961
20,"Charlotte, NC",630478
21,"El Paso, TX",609415
22,"Milwaukee, WI",602782
23,"Boston, MA",590763
24,"Seattle, WA",582454
25,"Washington, DC",581530
